make: hw3.out started >>>
node: 10, x: 6.07, y: 10.07, w: 3.75, h: 3.73
node: 11, x: 2.29, y: 14.10, w: 1.73, h: 5.20
node: 12, x: 6.85, y: 13.82, w: 2.00, h: 4.00
node: 13, x: 13.15, y: 5.44, w: 6.00, h: 2.00
node: 14, x: 0.00, y: 12.40, w: 2.22, h: 2.70
node: 15, x: 8.85, y: 13.87, w: 1.41, h: 5.66
node: 16, x: 3.17, y: 5.30, w: 3.87, h: 3.10
node: 17, x: 22.00, y: 10.25, w: 2.83, h: 2.12
node: 18, x: 9.82, y: 11.77, w: 2.67, h: 1.87
node: 19, x: 7.04, y: 5.75, w: 2.74, h: 2.19
node: 20, x: 23.45, y: 16.63, w: 1.41, h: 2.83
node: 21, x: 0.67, y: 5.85, w: 2.50, h: 2.00
node: 22, x: 17.19, y: 13.74, w: 2.24, h: 2.68
node: 23, x: 22.89, y: 14.49, w: 2.00, h: 2.00
node: 24, x: 23.14, y: 5.30, w: 1.41, h: 2.12
node: 25, x: 15.08, y: 11.18, w: 2.11, h: 5.69
node: 26, x: 5.30, y: 17.82, w: 2.28, h: 1.75
node: 27, x: 19.45, y: 17.59, w: 4.00, h: 2.00
node: 28, x: 10.27, y: 13.93, w: 2.54, h: 3.55
node: 29, x: 2.60, y: 10.04, w: 3.46, h: 1.73
node: 30, x: 0.11, y: 15.09, w: 2.00, h: 2.00
node: 31, x: 0.11, y: 8.40, w: 2.00, h: 4.00
node: 32, x: 9.78, y: 5.40, w: 2.42, h: 2.90
node: 33, x: 12.92, y: 17.45, w: 2.11, h: 1.90
node: 34, x: 19.76, y: 5.41, w: 3.38, h: 4.73
node: 35, x: 19.49, y: 10.58, w: 2.51, h: 3.59
node: 36, x: 4.02, y: 14.41, w: 2.83, h: 2.83
node: 37, x: 9.85, y: 10.23, w: 2.61, h: 1.53
node: 38, x: 17.60, y: 11.62, w: 1.41, h: 2.12
node: 39, x: 12.90, y: 7.65, w: 3.02, h: 2.32
node: 40, x: 15.32, y: 16.87, w: 3.87, h: 2.58
node: 41, x: 15.92, y: 7.44, w: 3.48, h: 3.74
node: 42, x: 19.43, y: 14.63, w: 3.46, h: 1.73
node: 43, x: 5.39, y: 8.45, w: 2.58, h: 1.55
node: 44, x: 22.23, y: 12.37, w: 2.36, h: 2.12
node: 45, x: 12.87, y: 11.28, w: 2.21, h: 3.16
area: 355.809785 = 24.89 * 14.30
node: 1, x: 2.05, y: 10.41, w: 2.00, h: 2.00
node: 2, x: 2.87, y: 17.87, w: 3.16, h: 1.58
node: 3, x: 2.10, y: 6.83, w: 1.00, h: 3.00
node: 4, x: 6.87, y: 12.20, w: 2.83, h: 1.41
node: 5, x: 4.42, y: 14.60, w: 2.00, h: 3.00
node: 6, x: 4.05, y: 10.41, w: 2.50, h: 2.00
node: 7, x: 7.16, y: 16.45, w: 3.65, h: 1.10
node: 8, x: -0.00, y: 13.04, w: 2.05, h: 3.42
node: 9, x: 6.47, y: 8.65, w: 4.90, h: 1.63
node: 10, x: 3.10, y: 6.24, w: 3.36, h: 4.17
node: 11, x: 15.68, y: 15.65, w: 2.37, h: 3.80
node: 12, x: 21.71, y: 9.76, w: 4.00, h: 2.00
node: 13, x: 11.48, y: 7.14, w: 2.00, h: 6.00
node: 14, x: 13.54, y: 16.89, w: 2.11, h: 2.84
node: 15, x: 0.32, y: 7.38, w: 1.41, h: 5.66
node: 16, x: 18.14, y: 9.20, w: 3.25, h: 3.70
node: 17, x: 13.54, y: 9.46, w: 2.12, h: 2.83
node: 18, x: 8.39, y: 17.73, w: 2.67, h: 1.87
node: 19, x: 2.93, y: 12.41, w: 2.74, h: 2.19
node: 20, x: 10.01, y: 10.63, w: 1.41, h: 2.83
node: 21, x: 0.37, y: 17.66, w: 2.50, h: 2.00
node: 22, x: 2.18, y: 14.76, w: 2.24, h: 2.68
node: 23, x: 23.71, y: 11.81, w: 2.00, h: 2.00
node: 24, x: 19.76, y: 17.63, w: 1.41, h: 2.12
node: 25, x: 11.43, y: 13.14, w: 2.11, h: 5.69
node: 26, x: 9.62, y: 6.37, w: 1.75, h: 2.28
node: 27, x: 23.96, y: 15.76, w: 2.00, h: 4.00
node: 28, x: 23.31, y: 6.21, w: 2.54, h: 3.55
node: 29, x: 21.57, y: 6.25, w: 1.73, h: 3.46
node: 30, x: 13.60, y: 12.28, w: 2.00, h: 2.00
node: 31, x: 21.65, y: 11.76, w: 2.00, h: 4.00
node: 32, x: 15.66, y: 9.73, w: 2.42, h: 2.90
node: 33, x: 23.65, y: 13.81, w: 2.11, h: 1.90
node: 34, x: 18.07, y: 12.90, w: 3.38, h: 4.73
node: 35, x: 21.45, y: 15.96, w: 2.51, h: 3.59
node: 36, x: 6.80, y: 13.62, w: 2.83, h: 2.83
node: 37, x: 13.83, y: 14.28, w: 1.53, h: 2.61
node: 38, x: 18.35, y: 17.63, w: 1.41, h: 2.12
node: 39, x: 15.70, y: 12.63, w: 2.32, h: 3.02
node: 40, x: 18.09, y: 6.21, w: 3.34, h: 2.99
node: 41, x: 13.79, y: 6.23, w: 4.03, h: 3.22
node: 42, x: 6.55, y: 10.47, w: 3.46, h: 1.73
node: 43, x: 9.63, y: 13.74, w: 1.55, h: 2.58
node: 44, x: 6.03, y: 17.60, w: 2.36, h: 2.12
node: 45, x: 6.46, y: 6.40, w: 3.16, h: 2.21
area: 351.790014 = 25.96 * 13.55
node: 1, x: 9.69, y: 11.89, w: 2.00, h: 2.00
node: 2, x: 21.37, y: 5.50, w: 3.16, h: 1.58
node: 3, x: 17.93, y: 4.99, w: 1.00, h: 3.00
node: 4, x: 11.04, y: 10.30, w: 2.83, h: 1.41
node: 5, x: 0.00, y: 12.35, w: 2.00, h: 3.00
node: 6, x: 13.97, y: 5.03, w: 2.50, h: 2.00
node: 7, x: 14.11, y: 10.64, w: 3.65, h: 1.10
node: 8, x: 20.00, y: 11.84, w: 2.05, h: 3.42
node: 9, x: 0.16, y: 15.86, w: 4.90, h: 1.63
node: 10, x: 13.96, y: 7.09, w: 3.94, h: 3.55
node: 11, x: 14.17, y: 14.04, w: 3.00, h: 3.00
node: 12, x: 8.86, y: 17.49, w: 4.00, h: 2.00
node: 13, x: 18.22, y: 9.72, w: 6.00, h: 2.00
node: 14, x: 0.03, y: 8.64, w: 2.00, h: 3.00
node: 15, x: 5.22, y: 13.93, w: 1.41, h: 5.66
node: 16, x: 2.03, y: 8.59, w: 3.87, h: 3.10
node: 17, x: 21.53, y: 7.08, w: 2.83, h: 2.12
node: 18, x: 8.90, y: 8.60, w: 1.87, h: 2.67
node: 19, x: 5.27, y: 11.74, w: 2.74, h: 2.19
node: 20, x: 6.64, y: 15.34, w: 1.41, h: 2.83
node: 21, x: 6.06, y: 6.82, w: 2.50, h: 2.00
node: 22, x: 13.67, y: 17.25, w: 2.68, h: 2.24
node: 23, x: 11.45, y: 8.30, w: 2.00, h: 2.00
node: 24, x: 8.12, y: 12.31, w: 1.41, h: 2.12
node: 25, x: 16.36, y: 17.32, w: 5.69, h: 2.11
node: 26, x: 6.17, y: 5.06, w: 2.28, h: 1.75
node: 27, x: 13.67, y: 12.04, w: 4.00, h: 2.00
node: 28, x: 9.60, y: 13.94, w: 2.54, h: 3.55
node: 29, x: 22.44, y: 12.14, w: 1.73, h: 3.46
node: 30, x: 20.02, y: 15.25, w: 2.00, h: 2.00
node: 31, x: 0.61, y: 17.49, w: 4.00, h: 2.00
node: 32, x: 18.93, y: 5.04, w: 2.42, h: 2.90
node: 33, x: 11.69, y: 11.83, w: 1.90, h: 2.11
node: 34, x: 0.73, y: 5.02, w: 4.47, h: 3.58
node: 35, x: 22.05, y: 15.60, w: 2.51, h: 3.59
node: 36, x: 5.90, y: 8.82, w: 2.83, h: 2.83
node: 37, x: 12.14, y: 14.41, w: 1.53, h: 2.61
node: 38, x: 16.47, y: 4.97, w: 1.41, h: 2.12
node: 39, x: 17.67, y: 14.21, w: 2.32, h: 3.02
node: 40, x: 10.94, y: 4.99, w: 3.02, h: 3.31
node: 41, x: 2.00, y: 11.83, w: 3.22, h: 4.03
node: 42, x: 17.90, y: 7.99, w: 3.46, h: 1.73
node: 43, x: 8.05, y: 14.43, w: 1.55, h: 2.58
node: 44, x: 17.77, y: 11.86, w: 2.12, h: 2.36
node: 45, x: 8.73, y: 5.44, w: 2.21, h: 3.16
area: 358.883932 = 24.56 * 14.61
node: 1, x: 6.44, y: 16.05, w: 2.00, h: 2.00
node: 2, x: 13.52, y: 18.48, w: 3.16, h: 1.58
node: 3, x: 1.41, y: 11.86, w: 3.00, h: 1.00
node: 4, x: 1.50, y: 5.53, w: 1.41, h: 2.83
node: 5, x: 14.84, y: 6.71, w: 2.00, h: 3.00
node: 6, x: 18.40, y: 4.68, w: 2.50, h: 2.00
node: 7, x: 8.58, y: 13.89, w: 3.65, h: 1.10
node: 8, x: 13.25, y: 9.71, w: 3.42, h: 2.05
node: 9, x: 13.50, y: 4.87, w: 4.90, h: 1.63
node: 10, x: 21.97, y: 10.35, w: 3.16, h: 4.43
node: 11, x: 9.88, y: 6.73, w: 3.00, h: 3.00
